DATE,M2
2010-01-04,8438.7
2010-01-11,8432.0
2010-01-18,8435.6
2010-01-25,8454.0
2010-02-01,8468.4
2010-02-08,8474.0
2010-02-15,8508.5
2010-02-22,8507.7
2010-03-01,8495.1
2010-03-08,8486.1
2010-03-15,8491.0
2010-03-22,8490.1
2010-03-29,8497.6
2010-04-05,8507.9
2010-04-12,8515.1
2010-04-19,8509.3
2010-04-26,8537.0
2010-05-03,8553.3
2010-05-10,8563.7
2010-05-17,8586.9
2010-05-24,8572.9
2010-05-31,8596.6
2010-06-07,8596.3
2010-06-14,8584.5
2010-06-21,8606.3
2010-06-28,8605.8
2010-07-05,8573.5
2010-07-12,8595.5
2010-07-19,8602.1
2010-07-26,8623.6
2010-08-02,8635.4
2010-08-09,8648.5
2010-08-16,8656.2
2010-08-23,8656.8
2010-08-30,8668.3
2010-09-06,8673.5
2010-09-13,8683.7
2010-09-20,8683.2
2010-09-27,8697.1
2010-10-04,8713.7
2010-10-11,8733.6
2010-10-18,8740.0
2010-10-25,8741.3
2010-11-01,8746.4
2010-11-08,8744.4
2010-11-15,8749.7
2010-11-22,8761.1
2010-11-29,8774.0
2010-12-06,8771.0
2010-12-13,8783.7
2010-12-20,8790.4
2010-12-27,8810.7
2011-01-03,8787.3
2011-01-10,8809.0
2011-01-17,8853.2
2011-01-24,8820.7
2011-01-31,8837.2
2011-02-07,8856.5
2011-02-14,8864.5
2011-02-21,8878.6
2011-02-28,8885.9
2011-03-07,8898.6
2011-03-14,8901.4
2011-03-21,8920.6
2011-03-28,8931.5
2011-04-04,8940.6
2011-04-11,8950.7
2011-04-18,8970.4
2011-04-25,9005.2
2011-05-02,9018.4
2011-05-09,9017.0
2011-05-16,9026.9
2011-05-23,9029.3
2011-05-30,9044.4
2011-06-06,9046.0
2011-06-13,9061.0
2011-06-20,9103.9
2011-06-27,9183.0
2011-07-04,9229.6
2011-07-11,9240.5
2011-07-18,9266.9
2011-07-25,9307.4
2011-08-01,9453.9
2011-08-08,9480.0
2011-08-15,9509.0
2011-08-22,9537.3
2011-08-29,9537.0
2011-09-05,9535.1
2011-09-12,9529.8
2011-09-19,9526.0
2011-09-26,9553.4
2011-10-03,9563.0
2011-10-10,9570.7
2011-10-17,9579.6
2011-10-24,9560.0
2011-10-31,9578.7
2011-11-07,9602.4
2011-11-14,9620.5
2011-11-21,9607.8
2011-11-28,9614.9
2011-12-05,9625.4
2011-12-12,9646.8
2011-12-19,9638.6
2011-12-26,9639.4
2012-01-02,9716.5
2012-01-09,9723.9
2012-01-16,9733.2
2012-01-23,9729.0
2012-01-30,9736.0
2012-02-06,9751.5
2012-02-13,9772.0
2012-02-20,9778.1
2012-02-27,9779.7
2012-03-05,9801.2
2012-03-12,9810.9
2012-03-19,9805.4
2012-03-26,9826.3
2012-04-02,9849.2
2012-04-09,9865.7
2012-04-16,9880.3
2012-04-23,9864.0
2012-04-30,9885.1
2012-05-07,9899.4
2012-05-14,9897.2
2012-05-21,9905.7
2012-05-28,9905.8
2012-06-04,9919.6
2012-06-11,9971.7
2012-06-18,9974.5
2012-06-25,9981.1
2012-07-02,10007.4
2012-07-09,10030.4
2012-07-16,10051.2
2012-07-23,10047.0
2012-07-30,10065.3
2012-08-06,10078.1
2012-08-13,10115.2
2012-08-20,10112.6
2012-08-27,10134.8
2012-09-03,10161.9
2012-09-10,10180.1
2012-09-17,10201.3
2012-09-24,10196.7
2012-10-01,10245.4
