Percentile;Year;"sptinc_992_j_US"
p0p50;1913;
p0p50;1914;
p0p50;1915;
p0p50;1916;
p0p50;1917;
p0p50;1918;
p0p50;1919;
p0p50;1920;
p0p50;1921;
p0p50;1922;
p0p50;1923;
p0p50;1924;
p0p50;1925;
p0p50;1926;
p0p50;1927;
p0p50;1928;
p0p50;1929;
p0p50;1930;
p0p50;1931;
p0p50;1932;
p0p50;1933;
p0p50;1934;
p0p50;1935;
p0p50;1936;
p0p50;1937;
p0p50;1938;
p0p50;1939;
p0p50;1940;
p0p50;1941;
p0p50;1942;
p0p50;1943;
p0p50;1944;
p0p50;1945;
p0p50;1946;
p0p50;1947;
p0p50;1948;
p0p50;1949;
p0p50;1950;
p0p50;1951;
p0p50;1952;
p0p50;1953;
p0p50;1954;
p0p50;1955;
p0p50;1956;
p0p50;1957;
p0p50;1958;
p0p50;1959;
p0p50;1960;
p0p50;1961;
p0p50;1962;0.19499999
p0p50;1963;0.191
p0p50;1964;0.18700001
p0p50;1965;0.1913
p0p50;1966;0.1956
p0p50;1967;0.20829999
p0p50;1968;0.20559999
p0p50;1969;0.212
p0p50;1970;0.20999999
p0p50;1971;0.2035
p0p50;1972;0.2013
p0p50;1973;0.2027
p0p50;1974;0.20730001
p0p50;1975;0.2014
p0p50;1976;0.20290001
p0p50;1977;0.2
p0p50;1978;0.199
p0p50;1979;0.2008
p0p50;1980;0.1989
p0p50;1981;0.19509999
p0p50;1982;0.18960001
p0p50;1983;0.1831
p0p50;1984;0.1788
p0p50;1985;0.1788
p0p50;1986;0.17659999
p0p50;1987;0.1726
p0p50;1988;0.16949999
p0p50;1989;0.1693
p0p50;1990;0.168
p0p50;1991;0.1662
p0p50;1992;0.1583
p0p50;1993;0.15899999
p0p50;1994;0.1578
p0p50;1995;0.1538
p0p50;1996;0.1508
p0p50;1997;0.1486
p0p50;1998;0.14910001
p0p50;1999;0.1477
p0p50;2000;0.1461
p0p50;2001;0.1495
p0p50;2002;0.14820001
p0p50;2003;0.1452
p0p50;2004;0.1419
p0p50;2005;0.1384
p0p50;2006;0.1354
p0p50;2007;0.1374
p0p50;2008;0.1371
p0p50;2009;0.13590001
p0p50;2010;0.1303
p0p50;2011;0.12729999
p0p50;2012;0.1238
p0p50;2013;0.1277
p0p50;2014;0.12549999
p99p100;1913;0.1884
p99p100;1914;0.19329999
p99p100;1915;0.18700001
p99p100;1916;0.20640001
p99p100;1917;0.2014
p99p100;1918;0.1895
p99p100;1919;0.2101
p99p100;1920;0.184
p99p100;1921;0.18099999
p99p100;1922;0.1763
p99p100;1923;0.1689
p99p100;1924;0.1761
p99p100;1925;0.19949999
p99p100;1926;0.2121
p99p100;1927;0.2033
p99p100;1928;0.2139
p99p100;1929;0.21160001
p99p100;1930;0.18089999
p99p100;1931;0.1503
p99p100;1932;0.1391
p99p100;1933;0.1516
p99p100;1934;0.1715
p99p100;1935;0.1736
p99p100;1936;0.19239999
p99p100;1937;0.1904
p99p100;1938;0.1719
p99p100;1939;0.1848
p99p100;1940;0.19310001
p99p100;1941;0.19490001
p99p100;1942;0.1849
p99p100;1943;0.1718
p99p100;1944;0.14839999
p99p100;1945;0.1428
p99p100;1946;0.1416
p99p100;1947;0.14569999
p99p100;1948;0.1577
p99p100;1949;0.1517
p99p100;1950;0.1585
p99p100;1951;0.1494
p99p100;1952;0.142
p99p100;1953;0.13259999
p99p100;1954;0.1349
p99p100;1955;0.14129999
p99p100;1956;0.1339
p99p100;1957;0.13169999
p99p100;1958;0.1247
p99p100;1959;0.13070001
p99p100;1960;0.1259
p99p100;1961;0.1245
p99p100;1962;0.1257
p99p100;1963;
p99p100;1964;0.1292
p99p100;1965;
p99p100;1966;0.12639999
p99p100;1967;0.1214
p99p100;1968;0.1242
p99p100;1969;0.1151
p99p100;1970;0.1079
p99p100;1971;0.1108
p99p100;1972;0.1112
p99p100;1973;0.1102
p99p100;1974;0.1055
p99p100;1975;0.1058
p99p100;1976;0.1041
p99p100;1977;0.1075
p99p100;1978;0.1063
p99p100;1979;0.1115
p99p100;1980;0.1067
p99p100;1981;0.1105
p99p100;1982;0.1126
p99p100;1983;0.1151
p99p100;1984;0.125
p99p100;1985;0.12549999
p99p100;1986;0.1221
p99p100;1987;0.1331
p99p100;1988;0.1488
p99p100;1989;0.1446
p99p100;1990;0.1454
p99p100;1991;0.1389
p99p100;1992;0.15009999
p99p100;1993;0.1464
p99p100;1994;0.1469
p99p100;1995;0.15279999
p99p100;1996;0.15970001
p99p100;1997;0.1663
p99p100;1998;0.1692
p99p100;1999;0.1771
p99p100;2000;0.18269999
p99p100;2001;0.1727
p99p100;2002;0.1706
p99p100;2003;0.17200001
p99p100;2004;0.1832
p99p100;2005;0.1937
p99p100;2006;0.20100001
p99p100;2007;0.1987
p99p100;2008;0.1952
p99p100;2009;0.18539999
p99p100;2010;0.198
p99p100;2011;0.19599999
p99p100;2012;0.2078
p99p100;2013;0.19589999
p99p100;2014;0.20200001
