Percentile;Year;"shweal_z_US"
p99p100;1913;0.45120001
p99p100;1914;0.44589999
p99p100;1915;0.44639999
p99p100;1916;0.433
p99p100;1917;0.40529999
p99p100;1918;0.3705
p99p100;1919;0.40009999
p99p100;1920;0.3567
p99p100;1921;0.368
p99p100;1922;0.39969999
p99p100;1923;0.3538
p99p100;1924;0.37459999
p99p100;1925;0.40920001
p99p100;1926;0.4258
p99p100;1927;0.4492
p99p100;1928;0.47819999
p99p100;1929;0.4799
p99p100;1930;0.4337
p99p100;1931;0.38620001
p99p100;1932;0.38100001
p99p100;1933;0.4034
p99p100;1934;0.40990001
p99p100;1935;0.4048
p99p100;1936;0.42989999
p99p100;1937;0.4366
p99p100;1938;0.3976
p99p100;1939;0.4082
p99p100;1940;0.37670001
p99p100;1941;0.3457
p99p100;1942;0.34110001
p99p100;1943;0.34380001
p99p100;1944;0.3184
p99p100;1945;0.32100001
p99p100;1946;0.29929999
p99p100;1947;0.2868
p99p100;1948;0.2807
p99p100;1949;0.2719
p99p100;1950;0.28529999
p99p100;1951;0.28099999
p99p100;1952;0.27770001
p99p100;1953;0.26539999
p99p100;1954;0.27239999
p99p100;1955;0.27540001
p99p100;1956;0.27900001
p99p100;1957;0.2753
p99p100;1958;0.2712
p99p100;1959;0.27770001
p99p100;1960;0.27770001
p99p100;1961;0.27959999
p99p100;1962;0.28099999
p99p100;1963;0.2762
p99p100;1964;0.27129999
p99p100;1965;0.2687
p99p100;1966;0.29010001
p99p100;1967;0.28650001
p99p100;1968;0.30500001
p99p100;1969;0.28929999
p99p100;1970;0.2809
p99p100;1971;0.25420001
p99p100;1972;0.2472
p99p100;1973;0.25940001
p99p100;1974;0.2457
p99p100;1975;0.228
p99p100;1976;0.22139999
p99p100;1977;0.23119999
p99p100;1978;0.21960001
p99p100;1979;0.22400001
p99p100;1980;0.2254
p99p100;1981;0.24420001
p99p100;1982;0.24690001
p99p100;1983;0.2374
p99p100;1984;0.2386
p99p100;1985;0.2314
p99p100;1986;0.2298
p99p100;1987;0.24609999
p99p100;1988;0.26499999
p99p100;1989;0.26570001
p99p100;1990;0.27430001
p99p100;1991;0.26879999
p99p100;1992;0.2757
p99p100;1993;0.28830001
p99p100;1994;0.28839999
p99p100;1995;0.27919999
p99p100;1996;0.28580001
p99p100;1997;0.29460001
p99p100;1998;0.32609999
p99p100;1999;0.31470001
p99p100;2000;0.32300001
p99p100;2001;0.3337
p99p100;2002;0.32269999
p99p100;2003;0.30320001
p99p100;2004;0.3317
p99p100;2005;0.32100001
p99p100;2006;0.3283
p99p100;2007;0.35100001
p99p100;2008;0.36090001
p99p100;2009;0.36149999
p99p100;2010;0.38999999
p99p100;2011;0.3743
p99p100;2012;0.38850001
p99p100;2013;0.38280001
p99p100;2014;0.3856
p50p90;1913;
p50p90;1914;
p50p90;1915;
p50p90;1916;
p50p90;1917;
p50p90;1918;
p50p90;1919;
p50p90;1920;
p50p90;1921;
p50p90;1922;
p50p90;1923;
p50p90;1924;
p50p90;1925;
p50p90;1926;
p50p90;1927;
p50p90;1928;
p50p90;1929;
p50p90;1930;
p50p90;1931;
p50p90;1932;
p50p90;1933;
p50p90;1934;
p50p90;1935;
p50p90;1936;
p50p90;1937;
p50p90;1938;
p50p90;1939;
p50p90;1940;
p50p90;1941;
p50p90;1942;
p50p90;1943;
p50p90;1944;
p50p90;1945;
p50p90;1946;
p50p90;1947;
p50p90;1948;
p50p90;1949;
p50p90;1950;
p50p90;1951;
p50p90;1952;
p50p90;1953;
p50p90;1954;
p50p90;1955;
p50p90;1956;
p50p90;1957;
p50p90;1958;
p50p90;1959;
p50p90;1960;
p50p90;1961;
p50p90;1962;0.26730001
p50p90;1963;0.27970001
p50p90;1964;0.2879
p50p90;1965;0.2872
p50p90;1966;0.29809999
p50p90;1967;0.30669999
p50p90;1968;0.2762
p50p90;1969;0.31220001
p50p90;1970;0.30860001
p50p90;1971;0.31529999
p50p90;1972;0.31389999
p50p90;1973;0.30070001
p50p90;1974;0.33399999
p50p90;1975;0.31760001
p50p90;1976;0.3405
p50p90;1977;0.3434
p50p90;1978;0.35339999
p50p90;1979;0.33700001
p50p90;1980;0.33840001
p50p90;1981;0.3486
p50p90;1982;0.35499999
p50p90;1983;0.36219999
p50p90;1984;0.36629999
p50p90;1985;0.3732
p50p90;1986;0.36449999
p50p90;1987;0.35409999
p50p90;1988;0.34959999
p50p90;1989;0.3493
p50p90;1990;0.34259999
p50p90;1991;0.34349999
p50p90;1992;0.33849999
p50p90;1993;0.32749999
p50p90;1994;0.32879999
p50p90;1995;0.32730001
p50p90;1996;0.32350001
p50p90;1997;0.33019999
p50p90;1998;0.31040001
p50p90;1999;0.30309999
p50p90;2000;0.3017
p50p90;2001;0.3258
p50p90;2002;0.31330001
p50p90;2003;0.32710001
p50p90;2004;0.30610001
p50p90;2005;0.3064
p50p90;2006;0.31380001
p50p90;2007;0.3008
p50p90;2008;0.28470001
p50p90;2009;0.292
p50p90;2010;0.2744
p50p90;2011;0.27309999
p50p90;2012;0.2658
p50p90;2013;0.28169999
p50p90;2014;0.27149999
