Percentile;Year;"sptinc_z_QE";"sptinc_z_CN";"sptinc_z_US";"sptinc_z_IN";"sptinc_z_RU";"sptinc_z_SE"
p90p100;1905;;;;;0.46880001;
p90p100;1906;;;;;;
p90p100;1907;;;;;;
p90p100;1908;;;;;;
p90p100;1909;;;;;;
p90p100;1910;;;;;;
p90p100;1911;;;;;;
p90p100;1912;;;;;;
p90p100;1913;;;0.42309999;;;
p90p100;1914;;;0.42950001;;;
p90p100;1915;;;0.4219;;;
p90p100;1916;;;0.44389999;;;
p90p100;1917;;;0.449;;;
p90p100;1918;;;0.4364;;;
p90p100;1919;;;0.45429999;;;
p90p100;1920;;;0.43439999;;;
p90p100;1921;;;0.46529999;;;
p90p100;1922;;;0.45539999;;;
p90p100;1923;;;0.43099999;;;
p90p100;1924;;;0.4526;;;
p90p100;1925;;;0.47080001;;;
p90p100;1926;;;0.47440001;;;
p90p100;1927;;;0.46759999;;;
p90p100;1928;;;0.47960001;;0.2246;
p90p100;1929;;;0.4668;;;
p90p100;1930;;;0.45339999;;;
p90p100;1931;;;0.44999999;;;
p90p100;1932;;;0.46650001;;;
p90p100;1933;;;0.46869999;;;
p90p100;1934;;;0.48030001;;0.2473;
p90p100;1935;;;0.47060001;;;
p90p100;1936;;;0.4774;;;
p90p100;1937;;;0.46520001;;;
p90p100;1938;;;0.4646;;;
p90p100;1939;;;0.47870001;;;
p90p100;1940;;;0.47729999;;;
p90p100;1941;;;0.45789999;;;
p90p100;1942;;;0.41069999;;;
p90p100;1943;;;0.38060001;;;
p90p100;1944;;;0.36199999;;;
p90p100;1945;;;0.35820001;;;
p90p100;1946;;;0.3721;;;
p90p100;1947;;;0.37079999;;;
p90p100;1948;;;0.38909999;;;
p90p100;1949;;;0.3836;;;
p90p100;1950;;;0.3899;;;
p90p100;1951;;;0.37709999;0.36680001;;
p90p100;1952;;;0.3651;0.361;;
p90p100;1953;;;0.3549;0.36039999;;
p90p100;1954;;;0.359;0.3788;;
p90p100;1955;;;0.36539999;0.39559999;;
p90p100;1956;;;0.3576;0.39250001;0.25639999;
p90p100;1957;;;0.3576;0.3865;;
p90p100;1958;;;0.35699999;0.38769999;;
p90p100;1959;;;0.36160001;0.37630001;0.26199999;
p90p100;1960;;;0.3563;0.36930001;;
p90p100;1961;;;0.3583;0.3716;0.25650001;
p90p100;1962;;;0.36090001;0.36939999;;
p90p100;1963;;;;0.34549999;;
p90p100;1964;;;0.3698;0.35510001;0.2464;
p90p100;1965;;;;0.359;;
p90p100;1966;;;0.36289999;0.36219999;0.2322;
p90p100;1967;;;0.3529;0.35800001;;
p90p100;1968;;;0.35510001;0.3515;0.21610001;
p90p100;1969;;;0.34130001;0.36179999;;
p90p100;1970;;;0.33840001;0.3653;;
p90p100;1971;;;0.3436;0.3443;;
p90p100;1972;;;0.34650001;0.34110001;0.2192;
p90p100;1973;;;0.3497;0.34;;
p90p100;1974;;;0.3405;0.34040001;;
p90p100;1975;;;0.3441;0.3416;;
p90p100;1976;;;0.34279999;0.34369999;0.2166;
p90p100;1977;;;0.34760001;0.3416;;
p90p100;1978;;0.27149999;0.34650001;0.3369;;
p90p100;1979;;0.27160001;0.34889999;0.32249999;;
p90p100;1980;0.28459999;0.27239999;0.34240001;0.315;0.2102;0.22149999
p90p100;1981;0.28299999;0.27680001;0.34720001;0.3071;;0.21969999
p90p100;1982;0.28189999;0.2809;0.34900001;0.30050001;;0.2261
p90p100;1983;0.2823;0.28189999;0.35420001;0.35280001;;0.2282
p90p100;1984;0.2845;0.28670001;0.36660001;0.33379999;;0.23549999
p90p100;1985;0.28709999;0.29519999;0.36660001;0.3479;0.2237;0.23450001
p90p100;1986;0.2899;0.2987;0.36469999;0.35069999;;0.2325
p90p100;1987;0.2942;0.2974;0.3761;0.34470001;;0.2331
p90p100;1988;0.29910001;0.301;0.38949999;0.3538;0.2238;0.2362
